IL,IN,IA,KS,MI,MN,ND,OH,SD,WI
5.87,5.05,5.72,5.8,7.02,5.54,5.03,6.28,5.85,5.9
6.17,5.08,5.8,5.93,6.91,5.83,5.28,6.36,6.1,5.98
6.47,5.23,5.82,6.12,6.98,5.69,5.22,6.29,6.11,5.93
6.61,5.14,6.02,6.02,6.73,5.7,5.34,6.47,6.23,6.02
6.88,5.27,6.33,6.22,6.81,5.96,5.58,6.9,6.49,5.98
7.39,5.45,6.61,6.46,7.09,6.43,5.89,6.9,6.79,6.25
7.72,5.45,6.83,6.82,7.22,6.84,5.99,6.97,6.84,6.28
7.78,5.38,6.85,6.8,7.29,6.88,6.02,6.97,6.82,6.28
7.43,5.29,6.39,6.47,6.88,5.81,5.92,6.75,6.54,6.11
6.92,5.47,5.84,6.15,6.82,5.44,5.56,6.62,6.26,5.96
6.88,5.36,5.52,5.6,6.85,5.52,5.21,6.44,6.13,6.01
6.4,5.39,5.65,5.82,6.91,5.68,4.98,6.4,6.01,6.15
6.25,5.29,5.63,5.89,7.23,5.51,4.99,6.41,5.9,6.17
6.45,5.33,5.68,5.87,6.88,5.66,5.14,6.53,6.1,6.22
6.54,5.4,5.62,5.96,6.98,5.44,5.22,6.65,6.0,6.11
6.61,5.36,5.73,6.04,6.78,5.54,5.43,6.65,6.09,6.19
6.83,5.38,5.77,6.26,7.13,5.6,5.74,6.84,6.18,6.2
7.46,5.43,6.4,6.44,7.23,6.41,5.91,7.05,6.52,6.48
7.68,5.56,6.76,7.03,7.37,6.44,5.88,7.17,6.69,6.41
7.63,5.5,6.63,6.78,7.19,6.32,5.75,7.12,6.64,6.34
7.39,5.4,6.42,6.64,7.36,5.83,5.68,6.84,6.49,6.27
7.03,5.31,5.76,6.28,6.9,5.46,5.43,6.76,6.27,6.11
6.4,5.01,5.66,5.88,6.7,5.52,5.21,6.53,6.12,6.28
6.43,5.1,5.65,5.94,7.14,5.55,5.22,6.48,6.03,6.51
6.38,5.26,5.6,5.93,6.85,5.53,5.13,6.4,5.98,6.38
6.5,5.32,5.71,6.07,7.0,5.75,5.19,6.49,6.11,6.4
6.62,5.31,5.9,6.21,6.93,5.82,5.32,6.54,6.19,6.38
6.71,5.38,5.94,6.24,6.52,5.75,5.5,6.5,6.33,6.65
6.79,5.25,6.02,6.17,6.67,5.88,5.61,6.89,6.33,6.58
7.1,5.4,6.58,6.69,7.06,6.58,5.86,6.8,6.7,6.82
7.61,5.42,6.81,6.96,7.01,6.66,5.89,7.31,6.68,6.96
7.46,5.56,6.78,6.96,7.18,6.75,5.93,7.04,6.74,6.92
7.13,5.36,6.38,6.69,6.74,6.15,5.87,6.9,6.63,6.8
6.92,5.45,5.85,5.99,6.87,5.7,5.62,6.7,6.34,6.53
6.47,5.42,5.75,5.88,6.52,5.52,5.1,6.58,6.17,6.63
6.41,5.27,5.75,5.77,6.78,5.78,4.88,6.59,6.01,6.6
6.37,5.25,6.07,5.9,6.84,5.92,5.23,6.64,6.02,6.76
6.34,5.3,5.98,5.86,6.82,5.79,5.23,6.55,6.09,6.68
6.58,5.47,5.94,5.96,6.74,5.92,5.45,6.86,6.22,6.53
6.63,5.49,5.99,6.16,6.82,5.86,5.51,6.88,6.35,6.75
6.65,5.53,6.02,6.4,6.62,6.11,5.68,6.87,6.44,6.8
7.16,5.63,6.82,6.64,7.15,6.61,6.07,7.12,6.81,7.19
7.53,5.8,7.34,6.93,7.2,7.03,6.15,7.27,6.88,7.17
7.56,5.83,7.13,7.09,7.2,6.73,6.23,7.24,6.79,7.1
7.1,5.66,6.72,6.76,7.04,6.47,6.12,6.9,6.68,7.07
6.85,5.7,6.24,6.15,6.96,6.07,5.9,6.85,6.52,6.71
6.18,5.74,6.11,6.15,6.72,5.97,5.61,6.82,6.33,6.86
6.39,5.53,6.23,5.96,7.15,6.22,5.47,6.69,6.26,6.85
6.46,5.57,6.24,5.88,7.01,6.13,5.23,6.71,6.1,7.05
6.44,5.66,6.23,6.05,6.95,6.12,5.38,6.77,6.25,7.14
6.56,5.57,6.22,6.19,7.07,6.06,5.51,6.83,6.38,7.03
6.65,5.86,6.39,6.29,6.89,6.27,5.8,6.85,6.48,7.22
6.74,5.87,6.49,6.26,6.82,6.26,5.89,7.05,6.72,7.26
7.31,5.96,7.13,6.64,7.47,7.36,6.37,7.32,6.98,7.79
7.75,6.02,7.55,7.01,7.68,7.15,6.37,7.42,6.95,7.78
7.54,6.07,7.57,7.17,7.6,7.07,6.51,7.5,6.68,7.85
7.31,5.9,6.96,7.2,7.54,7.03,6.56,7.2,6.95,7.69
7.13,6.09,6.31,6.64,7.07,6.52,6.17,7.09,6.75,7.59
6.63,6.04,6.22,6.39,7.22,6.4,5.95,7.06,6.61,7.5
6.39,5.89,6.5,6.23,7.19,6.68,5.58,6.96,6.36,7.7
6.32,6.02,6.66,6.37,7.76,6.6,5.77,7.29,6.24,7.85
6.56,6.17,6.84,6.26,7.62,6.77,5.89,7.48,6.46,7.95
6.54,6.35,6.75,6.68,7.65,6.18,5.81,7.51,6.46,7.78
6.7,6.69,6.64,6.74,8.06,6.35,6.03,7.53,6.47,8.08
7.06,6.68,6.56,6.96,8.31,6.78,6.2,7.65,6.82,8.12
7.57,6.61,7.18,7.42,8.23,7.58,6.38,8.09,6.88,7.78
7.94,6.74,7.89,7.65,8.65,8.04,6.62,8.18,7.2,8.65
7.76,6.73,7.89,7.54,8.83,7.64,6.72,8.12,6.87,8.53
7.49,6.44,7.6,7.36,8.08,6.9,6.88,7.75,6.92,8.34
7.15,6.46,6.82,6.8,8.0,6.91,6.55,7.71,6.87,8.13
6.63,6.33,6.44,6.15,7.99,6.9,6.07,7.6,6.72,8.06
6.68,6.27,6.41,6.04,8.19,6.71,5.85,7.45,6.51,8.09
8.28,6.01,6.49,6.29,8.38,6.96,5.84,7.64,6.47,8.27
8.31,6.18,6.56,6.34,8.62,7.12,5.8,7.55,6.47,8.4
8.12,6.31,6.43,6.51,8.59,7.1,6.39,7.59,6.72,8.07
8.05,6.52,6.53,6.65,8.45,7.46,6.1,7.73,6.71,8.16
8.26,6.51,6.57,6.89,8.46,7.1,6.36,7.92,6.81,8.39
8.59,6.49,7.13,7.49,8.83,8.17,6.77,8.15,7.08,8.83
8.56,6.72,7.7,7.59,8.76,8.27,6.91,8.44,7.24,8.86
8.9,6.83,7.71,7.38,9.03,7.87,6.76,8.44,7.19,8.85
8.66,6.8,7.17,7.01,8.19,7.34,6.86,8.07,7.25,8.63
8.67,6.58,6.57,6.67,8.16,7.08,6.63,7.77,7.08,8.37
8.56,6.65,6.28,6.4,8.3,7.06,6.5,7.79,6.9,8.38
8.45,6.38,6.42,6.25,8.38,7.44,6.36,7.68,6.76,8.37
8.31,6.55,6.32,6.44,8.51,7.56,6.18,7.78,6.73,8.56
8.54,6.6,6.25,6.51,8.56,7.53,6.56,7.96,6.81,8.64
8.77,6.33,6.52,7.07,8.56,7.42,6.46,7.97,6.84,8.65
8.99,6.92,6.59,7.13,8.65,7.24,6.6,8.14,6.93,8.89
9.04,6.89,6.71,7.43,8.43,7.62,6.6,8.37,7.22,8.86
9.61,7.03,7.24,8.24,9.14,8.24,7.02,8.71,7.39,9.22
9.83,7.4,7.79,8.75,9.8,8.68,7.01,8.89,7.45,9.46
9.65,7.48,7.96,8.27,9.67,8.42,7.03,8.79,7.42,9.42
9.51,7.42,7.31,7.61,9.01,7.89,7.15,8.54,7.56,9.32
9.53,7.64,6.55,7.26,8.88,7.52,6.93,8.58,7.44,8.93
9.66,7.58,6.29,6.99,8.74,7.67,6.75,8.57,7.12,9.14
9.2,7.28,7.01,6.97,9.01,7.55,6.34,8.41,6.94,8.92
9.27,7.58,6.78,7.24,9.1,7.71,6.08,8.59,6.99,9.62
9.45,7.75,6.86,7.85,8.9,7.88,6.34,8.57,7.13,9.4
9.41,7.84,7.04,7.86,8.84,8.1,6.32,8.92,7.14,9.15
9.34,7.7,7.08,7.9,8.6,7.89,6.45,9.1,7.21,9.16
9.25,7.71,7.06,7.98,9.54,8.01,6.87,9.3,7.52,9.16
9.28,7.74,7.67,8.47,9.89,8.65,7.18,9.42,7.67,9.77
9.17,7.77,8.82,8.3,9.91,8.82,7.14,9.58,7.74,9.62
9.15,7.78,8.37,8.47,10.09,8.8,7.12,9.55,7.67,9.5
9.14,7.6,7.8,8.22,9.72,7.96,7.06,9.05,7.64,9.53
8.96,7.36,7.02,7.94,9.32,7.94,6.66,8.78,7.5,9.16
8.85,7.29,6.84,7.75,9.16,7.95,6.6,8.7,7.36,9.22
8.54,7.31,7.02,7.49,9.64,7.99,6.29,8.72,7.25,9.15
8.67,7.25,6.94,7.55,9.45,8.05,6.32,8.89,7.14,9.57
8.73,7.33,6.78,7.94,9.36,8.22,6.69,8.86,7.34,9.64
9.0,7.28,7.29,8.04,9.38,8.12,6.56,8.84,7.41,9.55
8.8,7.43,7.36,8.1,9.89,7.99,6.8,8.91,7.63,9.43
9.03,7.57,7.55,8.21,10.1,8.05,7.09,9.05,7.98,9.61
9.64,7.59,7.86,8.65,10.25,8.72,7.59,9.47,8.24,10.04
9.81,7.91,9.13,9.06,10.51,9.12,7.74,9.6,8.41,10.18
9.79,7.93,8.86,9.06,10.59,9.04,7.69,9.51,8.3,10.17
9.21,7.87,7.94,8.59,10.13,8.51,7.81,9.25,8.21,9.96
9.02,7.92,7.33,8.18,9.54,8.15,7.33,9.12,8.02,9.63
8.97,8.11,7.1,8.13,9.55,8.28,7.11,9.07,7.79,9.68
8.48,7.8,7.37,8.04,9.54,8.39,7.0,8.97,7.64,9.72
8.38,7.74,7.16,8.18,9.9,8.32,6.54,8.59,7.62,9.95
8.84,7.87,7.26,8.33,10.21,8.32,6.94,8.75,7.59,10.04
8.91,7.81,7.3,8.5,9.99,8.42,6.96,8.77,7.7,9.95
8.78,7.83,7.21,8.63,9.95,8.58,7.3,8.73,7.79,10.03
9.03,7.94,7.28,8.91,10.36,8.7,7.55,8.81,8.02,10.01
9.3,8.13,7.88,9.45,10.92,9.05,8.2,9.3,8.49,10.56
9.43,8.31,8.57,9.63,11.04,9.28,8.15,9.67,8.52,10.65
9.35,8.15,8.34,9.56,11.24,9.17,8.13,9.57,8.35,10.45
9.11,8.22,7.87,9.11,10.12,9.12,8.1,9.23,8.41,10.42
8.86,8.16,7.41,8.63,10.29,8.47,7.65,8.86,8.24,10.05
8.99,7.91,7.11,8.51,9.92,8.05,7.49,8.91,8.04,10.11
8.51,7.94,7.05,8.43,10.5,8.21,7.56,8.9,7.94,10.12
8.51,8.23,7.15,8.75,10.63,8.52,6.98,9.0,8.05,10.09
8.51,8.22,7.06,8.95,10.5,8.55,7.5,8.79,8.16,10.18
8.45,8.38,7.28,8.88,10.56,8.61,7.46,8.72,8.22,10.09
8.45,8.47,7.46,8.94,10.27,8.45,7.8,8.64,8.34,10.08
8.76,8.26,7.38,9.28,11.05,8.47,7.81,8.9,8.56,10.13
8.36,8.39,8.09,9.93,11.12,9.19,8.36,9.22,8.61,10.5
8.55,8.31,8.76,9.98,12.15,9.42,8.3,9.58,8.88,10.81
8.41,8.27,8.94,9.84,11.31,9.46,8.34,9.45,8.85,10.58
8.36,8.27,8.01,9.56,10.89,9.31,8.28,9.37,8.92,10.56
8.21,8.16,7.34,9.19,10.68,8.81,7.93,9.12,8.65,10.15
8.17,8.16,7.1,8.94,10.78,8.62,7.71,9.2,8.39,10.21
7.96,8.37,7.48,9.1,11.32,8.72,7.72,9.28,8.26,9.86
8.07,8.43,7.73,9.22,10.79,8.96,7.29,8.89,8.34,10.29
8.27,8.5,7.65,9.55,10.77,9.12,7.9,8.86,8.49,10.45
8.15,8.62,7.8,9.45,11.05,9.0,7.9,8.98,8.55,10.29
8.24,8.73,7.64,9.59,10.84,9.07,7.93,8.92,8.49,10.34
8.69,8.67,7.53,9.75,11.43,9.38,8.28,9.14,8.94,10.34
8.24,8.79,8.34,10.17,11.7,10.0,8.91,9.54,9.22,10.72
8.42,8.94,9.06,10.29,11.95,10.07,8.63,9.78,9.43,11.02
8.54,8.94,9.07,10.23,11.67,9.97,8.89,9.62,9.4,11.1
8.08,8.84,8.53,9.93,11.05,9.73,8.78,9.31,9.28,10.69
8.32,8.81,7.98,9.43,11.05,9.22,8.36,9.05,9.0,10.35
8.12,8.74,7.59,9.29,10.93,9.12,8.03,9.17,8.7,10.37
7.91,8.7,7.72,9.33,11.09,9.15,8.04,9.05,8.58,10.08
8.86,8.86,7.73,9.51,10.93,9.26,7.54,9.36,8.54,10.28
9.23,9.04,7.71,9.57,10.86,9.49,8.13,9.54,8.79,10.6
9.23,8.92,8.13,9.91,11.02,9.6,8.06,9.5,8.8,10.26
9.21,8.94,8.13,10.04,10.84,9.31,8.2,9.44,8.85,10.39
9.29,8.88,7.76,10.18,10.93,9.28,8.44,9.46,9.07,10.44
9.51,9.11,8.43,10.48,11.42,10.02,9.17,10.14,9.44,10.98
9.48,9.29,9.09,10.84,11.34,10.04,9.01,10.28,9.58,10.98
9.75,9.25,9.9,10.87,11.44,10.03,9.16,10.15,9.39,10.85
9.12,9.14,8.72,10.36,10.97,9.64,9.03,9.47,9.36,10.85
9.79,9.15,7.56,10.22,10.85,9.29,8.58,9.6,9.18,10.27
9.41,9.09,7.05,10.01,10.86,9.17,8.24,9.88,8.97,10.5
9.43,9.01,7.49,9.58,10.83,9.04,8.01,9.87,8.87,10.41
9.15,9.05,7.7,9.75,10.4,9.12,8.06,9.82,9.12,10.48
9.38,9.04,7.68,9.89,10.47,9.1,8.48,9.92,9.25,10.63
9.54,8.98,7.8,9.97,10.49,8.9,8.25,9.87,9.05,10.48
9.27,9.01,7.82,10.12,10.23,9.22,8.95,9.55,9.34,10.51
9.22,8.8,7.8,10.18,10.61,9.54,8.82,9.66,9.45,10.63
9.33,9.07,9.43,10.57,10.85,10.27,9.48,10.09,9.55,11.21
9.64,9.13,10.13,10.57,11.87,10.27,9.27,10.47,9.95,11.15
9.71,9.09,9.78,10.4,11.41,10.07,9.28,10.36,9.95,11.05
9.53,9.03,8.91,10.14,10.71,9.84,9.31,10.05,9.83,11.09
9.49,8.85,7.83,9.86,10.47,9.56,8.81,9.81,9.69,10.67
9.47,8.97,7.37,10.0,10.62,9.27,8.41,10.02,9.36,10.38
8.99,8.84,7.51,10.0,10.73,9.18,8.32,9.95,9.16,10.38
9.12,8.77,7.76,10.08,10.75,9.72,8.19,9.86,9.3,10.55
9.2,8.76,7.58,10.29,10.75,9.7,8.7,9.83,9.33,10.52
9.24,8.81,7.76,10.41,10.58,9.62,8.68,9.78,9.61,10.44
9.24,9.12,7.5,10.3,10.46,9.78,8.53,9.77,9.69,10.41
9.55,8.99,8.14,10.57,10.75,9.97,9.09,9.84,9.99,10.7
9.53,9.12,10.01,11.02,11.05,10.11,9.27,9.89,10.11,11.13
9.65,9.25,10.55,10.95,11.43,10.42,9.22,10.01,10.31,11.19
9.6,9.39,10.53,10.87,11.7,10.4,9.5,10.03,10.03,10.93
9.46,9.51,9.26,10.53,11.33,10.35,9.52,9.77,10.29,10.69
9.39,9.59,7.78,10.43,11.12,9.97,9.17,9.64,10.02,10.41
9.4,9.7,7.56,10.08,11.02,10.1,9.01,9.66,9.85,10.47
9.07,9.63,7.58,9.99,11.36,9.61,8.7,9.94,9.59,10.48
8.9,9.85,7.94,9.98,11.43,9.77,8.33,9.61,9.36,10.63
9.12,9.72,7.85,10.13,11.31,10.45,8.54,9.81,9.58,10.66
10.09,9.65,7.66,10.37,11.28,9.83,8.51,9.88,9.89,10.57
9.44,9.76,7.86,10.46,10.97,10.17,8.73,9.73,10.01,10.54
9.76,9.65,8.08,10.69,11.4,10.27,8.94,9.71,10.14,10.89
9.79,9.79,9.98,11.02,11.51,10.87,9.3,9.92,10.4,11.08
9.53,9.87,10.93,11.18,11.6,11.09,9.14,10.06,10.47,11.05
9.6,9.8,10.73,11.06,11.37,10.64,9.29,10.01,10.29,10.85
9.47,9.84,9.66,10.92,11.05,10.62,9.25,9.89,10.38,10.96
9.31,9.77,7.73,10.52,10.92,10.28,8.82,9.76,10.22,10.35
9.57,9.92,7.89,10.34,11.1,9.86,8.44,9.82,10.09,10.72
9.31,9.65,7.95,10.03,11.31,9.4,8.36,9.84,9.95,10.69
10.22,9.6,8.15,10.33,11.43,9.92,8.4,9.96,9.68,10.62
9.27,9.61,8.35,10.58,11.47,10.03,8.6,10.15,9.69,10.67
9.36,9.63,8.34,10.46,11.42,9.84,8.71,9.86,9.59,10.32
9.5,9.61,8.14,10.51,11.32,9.67,8.8,9.94,9.66,10.5
9.53,9.51,8.33,10.91,11.32,10.47,9.04,9.95,9.96,10.81
9.59,9.78,10.25,11.26,11.51,11.0,9.4,10.08,10.21,10.45
9.51,9.87,10.84,11.3,12.13,11.03,9.33,10.18,10.26,10.78
9.72,9.87,10.73,11.21,11.39,10.81,9.35,10.05,10.55,10.74
9.44,9.9,9.51,10.65,11.16,11.07,9.39,9.57,10.43,10.65
9.79,9.67,8.13,10.59,11.09,10.26,8.93,9.85,10.27,10.46
9.78,9.9,7.99,10.29,11.08,10.13,8.79,9.9,9.64,10.61
9.42,10.04,7.75,10.03,11.3,10.02,8.55,9.79,9.75,10.32
9.45,9.87,8.29,8.77,11.33,10.04,8.37,9.83,9.37,10.47
9.61,10.06,8.72,10.34,11.39,10.0,8.57,9.8,9.52,10.65
9.62,10.0,8.32,10.31,11.38,10.26,8.63,9.78,9.57,10.44
9.87,9.99,7.99,10.16,11.03,10.22,8.81,9.56,9.82,10.51
9.64,9.92,8.8,10.43,11.12,10.5,8.98,9.61,10.05,10.57
9.58,10.03,10.23,10.86,11.48,10.75,9.44,9.77,10.51,10.82
9.53,10.0,10.88,10.59,12.27,11.07,9.46,9.81,10.26,11.08
9.51,9.87,11.0,10.61,11.97,10.8,9.26,9.69,10.61,10.83
9.28,9.8,9.97,10.48,11.62,10.7,9.47,9.3,10.38,10.81
9.82,9.82,8.28,10.44,11.55,10.1,8.8,9.06,10.19,10.47
9.62,9.9,8.06,10.13,11.59,9.65,8.7,9.42,9.7,10.66
9.34,9.6,8.11,9.79,11.67,9.76,8.17,9.22,9.74,10.5
9.53,9.71,8.44,9.83,11.52,9.77,8.12,9.25,9.45,10.53
9.46,9.64,8.27,10.14,11.63,9.99,8.44,9.19,9.79,10.54
9.66,9.59,8.5,10.26,11.65,9.9,8.71,9.04,9.67,10.41
9.93,10.02,8.68,10.37,12.33,10.26,8.71,9.66,9.94,10.67
10.15,9.83,9.14,10.98,12.43,10.67,8.82,9.63,9.98,10.85
9.92,10.23,9.36,10.87,13.0,11.73,9.09,9.54,10.28,11.31
9.7,10.1,10.98,10.72,12.7,11.32,9.05,9.67,10.41,11.36
9.75,9.89,10.69,10.69,12.29,11.17,8.8,9.55,10.62,11.12
9.59,10.11,9.48,10.02,12.26,11.26,8.9,9.5,10.34,10.85
9.94,9.87,7.95,10.36,12.09,10.59,8.1,9.46,10.23,10.71
9.88,9.91,7.87,10.19,12.0,10.05,8.16,9.4,10.21,10.69
9.6,10.07,7.86,9.91,12.51,10.11,7.84,9.37,9.85,10.68
9.52,9.78,8.04,9.76,12.62,10.09,7.95,9.21,9.65,10.7
9.91,10.35,8.96,10.31,12.87,10.53,8.35,9.4,11.41,11.11
10.24,10.02,7.92,10.29,12.53,10.34,8.27,9.45,9.94,10.71
10.01,9.91,8.02,10.44,12.6,10.8,8.28,9.52,10.04,10.64
10.16,10.08,8.65,10.52,12.88,10.89,8.5,9.46,10.74,10.82
10.09,10.42,10.47,10.85,13.27,12.18,8.84,10.0,10.89,11.46
10.01,10.56,10.98,10.83,13.35,11.77,8.99,10.05,10.83,11.41
10.29,10.57,10.95,10.84,13.51,11.69,8.77,10.07,10.76,11.32
10.22,10.63,10.4,10.46,12.8,11.68,8.94,10.04,10.75,11.33
10.64,10.65,8.47,10.23,12.96,11.35,8.46,10.04,10.29,11.04
10.89,10.98,8.22,10.34,12.91,11.26,8.55,10.18,10.05,11.01
