,IL,IN,IA,KS,MI,MN,ND,OH,SD,WI
202111,22985.167,23288.11442,5955.485000000001,2737.654,25617.652000000002,9943.931,3013.267,37575.664000000004,1302.634,15097.560000000001
202110,23414.102,22044.56118,6263.549,3060.27,25588.252,10811.205,2694.983,37892.556000000004,1287.216,16716.868
202109,21251.737,21200.40793,6018.629999999999,3303.476,23945.902,8452.992,2989.4449999999997,31101.123,1042.845,14551.503
202108,35580.38,28391.11465,8632.309000000001,4844.09,33072.199,12325.965999999999,3609.3849999999998,39722.621,1918.871,20767.242000000002
202107,29058.432999999997,26087.12079,9183.135,5068.280000000001,31060.231,12488.537,3672.621,36589.247,1943.1490000000001,20716.034
202106,25541.333000000002,23882.392809999998,8005.123,4416.889,28189.948,10284.208999999999,3201.6549999999997,32864.357,1547.527,18864.127
202105,15700.23,18617.38379,3564.188,2502.419,20010.615,5713.961,2317.574,31818.579,761.681,12550.277
202104,15414.139,18548.22308,4061.434,3459.266,22380.875,5629.808,2825.496,27363.52,855.019,14208.062
202103,15099.731,19666.71794,3371.615,3196.795,19645.737,5913.72,3188.673,33489.768000000004,76.007,14479.907
202102,18699.854,23821.55113,4136.239,3140.136,28399.457,7546.0740000000005,3165.27,32556.91,932.838,14088.257
202101,18002.022,25443.963669999997,5017.859,2594.5,25915.679,8301.42,3523.035,37567.112,647.199,17235.556
202012,19875.74,25505.73905,6858.389,3429.5240000000003,27367.092999999997,9080.038,3477.94413,37875.935,603.187,14989.692
202011,10464.659,19520.927920000002,4471.064,2679.924,22558.922,6379.93,3003.505,31810.524,413.93100000000004,11958.4
202010,18559.746,22132.44274,5046.681,4736.264,31889.555,7802.701,3089.525,24980.787,442.839,15909.491
202009,17226.039,21939.17484,4973.67,2810.76,25889.418,5829.827,2922.5240000000003,33188.072,607.398,13625.868
202008,27988.989999999998,27780.785,6819.6669999999995,4282.546,32559.232,9236.195,3660.352,37860.804000000004,1422.2589999999998,20509.178
202007,40327.305,30730.366,10277.984,4953.3060000000005,41022.674,12350.887,4005.946,39229.806000000004,1697.711,18344.652000000002
202006,27056.266,28100.606,6505.696,3455.142,30116.877,8921.062000000002,3176.733,32012.577,1009.507,17427.093
202005,16411.668999999998,24030.54183,5291.858,1882.738,25294.489999999998,5986.794000000001,2611.1929999999998,29901.165,588.915,14870.463000000002
202004,18164.699,22755.01693,4054.7000000000003,2490.8810000000003,38545.191,7240.040999999999,2854.895,31100.318,820.404,14896.406
202003,24196.962,23973.939489999997,4013.913,3738.873,44828.366,8449.179,3099.763,36509.487,1165.615,17692.89
202002,23701.694,24912.87015,7053.053,3114.776,48171.530999999995,8745.726,3397.988,35733.995,960.78,16709.015
202001,26574.512,27121.83718,6402.78,3036.214,54959.076,11783.179,3656.312,39036.618,1179.804,18523.192
201912,19365.847,27206.05276,6391.367,2972.645,28282.78,9869.612000000001,3604.379,35485.933,1041.395,16794.131
201911,15116.792,26147.020289999997,5840.026,2913.416,26640.126,7634.158,3073.5550000000003,27547.182,722.76,14550.696
201910,16017.15,24888.01515,5422.975,4213.442,29853.677,8722.283,2802.313,29165.018,604.632,15819.636999999999
201909,17775.284,25477.886309999998,7223.549,4192.391,26727.305999999997,9008.287,3134.489,33413.914,721.796,15017.034
201908,25052.972,26990.07427,9549.126,5219.772,34642.221,11528.132,3987.497,37636.404,1250.086,17659.447
201907,30684.404000000002,28366.36603,9543.328,5070.049,35216.167,11755.562,3789.3909999999996,37881.8,1301.02,17899.271999999997
201906,18263.913,23562.09731,6798.5,4416.63,25160.608,9347.846,3030.536,34042.591,1170.557,14893.044
201905,14250.087000000001,21462.846960000003,5159.362,4389.273,24439.414,6975.006,2584.1530000000002,29488.089,1024.022,12215.688999999998
201904,16532.179,20721.1101,4112.803,2278.011,25390.568,8128.579,2441.9371499999997,30306.243000000002,843.1089999999999,14810.939999999999
201903,15242.513,25320.030939999997,6125.223,2634.7509999999997,25450.797000000002,7777.688,3096.23127,34997.346,1186.253,15126.579
201902,13818.075,24929.40676,6117.095,3097.734,23796.285,8511.152,2997.48803,34953.515,1112.856,14340.971
201901,16045.51,26801.00308,6458.89,3101.192,27333.375,6498.994000000001,3112.2528,33951.125,793.9929999999999,15558.1
201812,11390.86,23286.6944,6095.476000000001,2904.243,22331.025999999998,4972.496,2740.5550000000003,34266.568,711.0129999999999,14372.132
201811,14143.339,22762.53913,4936.844,2885.0339999999997,20565.892000000003,5582.039,2599.193,31909.726,839.719,11588.622000000001
201810,13319.840999999999,20061.61103,5732.086,3303.89,23072.336000000003,4716.233,2533.5205100000003,31025.099000000002,352.279,13596.155
201809,19880.087,21712.734089999998,7617.698,3296.1629999999996,25288.266,7770.397999999999,2915.741,30181.399999999998,611.65,14723.682
201808,23304.713,25482.654950000004,7971.13,4077.413,29094.056,10213.884999999998,3284.415,35074.154,1154.512,18793.722999999998
201807,24294.032,26978.93782,9186.035,5126.779,28522.04,10989.01707,3575.723,32463.731,1569.145,18408.975
201806,18753.498,24683.26537,6979.437,4853.615,25040.141,8099.67548,2965.1620000000003,28044.173,1129.43,13810.353000000001
201805,17282.566,24464.51832,7294.268,6303.105,29308.742,7758.65771,2702.5299999999997,26115.509000000002,1517.901,10962.844
201804,10007.855,20783.966709999997,6231.307,4365.695,27627.431,6482.76812,2796.759,26318.232,695.2270000000001,9108.798999999999
201803,15770.044,20758.315189999998,5246.518,3251.2760000000003,29948.594999999998,6930.2665,2889.4107599999998,28458.475,548.044,14777.767
201802,11225.269999999999,19201.89298,4999.648999999999,2990.318,23232.836,6059.8328599999995,2580.25338,27160.17,846.625,14544.546
201801,15919.782000000001,24639.57501,5561.138,3281.169,28449.650999999998,6318.05263,2891.55703,31239.313,636.9490000000001,14707.372
201712,16023.137999999999,23572.84294,6059.3279999999995,3240.4849999999997,25384.916999999998,6967.77436,2816.07953,28492.449,648.331,14712.146999999999
201711,10979.922,17012.59878,5451.2300000000005,2910.727,20850.360999999997,5387.2943,2611.434,24357.109,590.33,12463.395
201710,15990.79,16221.126339999999,4722.191,3236.0649999999996,23141.66,4266.4215699999995,2479.70223,18371.918,409.18399999999997,13106.657
201709,18626.047,16947.02712,6356.900000000001,3038.0519999999997,22089.557,4777.1419000000005,2705.302,20015.345999999998,520.473,13278.147
201708,19594.766,17540.19936,6960.399,3707.071,24611.728,5915.09007,2827.22291,23291.7,740.355,14953.902
201707,28517.1,19190.65803,7479.932,5443.863,27589.148,9130.05249,3163.0859200000004,23702.924,1175.073,16687.556
201706,20898.971,15568.1402,4513.592000000001,4098.563,23309.327999999998,6608.41201,2442.64339,19721.46212,802.206,11337.2
201705,13067.866,11151.4076,3813.63,2383.5389999999998,21497.478000000003,5082.98125,2181.65154,17972.0975,523.578,7186.548
201704,14084.731,13440.59722,3417.0829999999996,2253.7529999999997,18626.495000000003,5785.97983,2159.43395,15487.63619,379.15000000000003,7241.323
201703,16180.198,18369.34283,2691.2929999999997,2567.493,25212.129,6980.784170000001,2494.8689999999997,19716.62254,518.841,13077.123
201702,12121.718,14982.654550000001,2104.032,1918.997,17013.008,3775.28434,2341.83319,18507.14423,318.87,10297.315999999999
201701,13175.173999999999,17552.68748,3219.2780000000002,2741.477,20732.479000000003,6533.327520000001,2451.97575,19668.167419999998,456.739,11329.306
201612,13392.661,21165.544869999998,3057.008,2847.245,20253.305999999997,5158.88739,2384.92918,19729.97784,404.64699999999993,9837.189999999999
201611,11755.481,19861.355,2393.017,2726.938,21516.626,5134.25727,3099.277,18566.394500000002,735.356,9213.984
201610,16274.823,17678.504,3323.786,2578.391,21167.375,5007.67008,3855.673,17372.58342,519.41,7622.812
201609,17695.654,18159.25962,3459.8590000000004,4626.625,22030.39,5011.15802,2789.0389999999998,21731.89761,640.357,10728.999
201608,25513.053,22967.173339999998,6193.201999999999,5118.8330000000005,35546.484,12370.77181,3782.881,27088.03204,1018.048,17930.167
201607,29164.505,22708.770220000002,5591.641,5111.447,30635.781,10527.071769999999,3897.609,26323.94334,999.123,16898.795000000002
201606,18436.282,20628.862970000002,4459.113,5328.171,26187.610999999997,7978.057000000001,3217.8379999999997,20802.43576,876.319,14626.917000000001
201605,13249.29,19627.45177,3675.477,3243.8779999999997,26846.528,7867.626609999999,2137.9919999999997,13698.1588,666.5,12258.588
201604,13725.369,14613.721549999998,1843.7749999999999,2048.691,27040.549,7633.49788,1503.808,19152.848420000002,747.3720000000001,11957.33
201603,16052.568000000001,19962.23932,2846.511,1916.299,23188.561999999998,7106.6229,2298.133,20434.950500000003,719.34,15935.699999999999
201602,13107.364,18013.24032,3220.699,1719.6910000000003,21241.174,7455.395869999999,2782.227,22380.604880000003,794.618,13014.682
201601,13542.462,20708.46459,3916.031,2169.187,21368.228000000003,8054.61492,2660.237,23509.7435,703.522,13506.916
201512,12614.629,18518.096410000002,3470.6270000000004,1779.24,20883.797000000002,7936.49892,2192.10684,19345.6185,753.549,12791.257000000001
201511,11871.534,16305.749,1854.9209999999998,1610.283,18695.256999999998,4797.29329,1960.05915,17920.20615,588.29,10158.734
201510,11261.891,13628.01817,2487.332,1839.7780000000002,19622.793999999998,4859.90646,2317.46254,16349.027689999999,426.06500000000005,10194.815999999999
201509,13992.687,12961.05977,3410.864,3214.022,18364.239,7971.796780000001,3163.632,20963.99373,464.548,11850.367
201508,13386.355000000001,16126.056059999999,4354.45,4038.781,18751.742000000002,8047.55149,3366.42244,22788.836799999997,951.971,11779.833999999999
201507,17031.877,16155.82983,5436.7880000000005,5592.709,21672.345999999998,9240.27849,3509.4749999999995,23465.84076,1040.176,14138.412999999999
201506,12391.407,14638.253130000001,3982.353,3668.2529999999997,18105.126,6438.37206,2390.706,21008.44715,663.935,10786.811
201505,9023.801,14129.10953,2921.058,2590.615,16592.357,3901.6396799999998,1898.59,17283.7125,539.078,9536.037
201504,9519.015,13833.64684,2373.29,2555.907,14381.280999999999,5858.2662,2867.0879999999997,15497.37454,301.358,8811.918
201503,10907.777000000002,18662.78404,3599.557,2742.9139999999998,19149.416,6650.1851799999995,2218.90419,23417.0743,91.083,11439.184
201502,11113.146,19775.02844,3643.7129999999997,2424.026,19346.182999999997,5685.78218,2653.47775,23471.27415,646.974,11438.081
201501,11737.166000000001,17955.6019,3472.383,2052.894,18847.283,4923.49587,2199.4979999999996,23148.91642,689.0989999999999,10862.58
201412,9572.233,12950.343789999999,3710.678,2681.893,14278.453000000001,5923.2078,2272.99986,20507.48115,846.047,7843.313
201411,8852.017,13869.84138,2639.357,3078.337,11647.706999999999,4279.073170000001,2306.661,14896.561839999998,500.664,8233.209
201410,9757.916000000001,11708.01986,3134.028,2691.83,13002.144,6298.30012,2278.0679999999998,12059.39819,323.029,9706.834
201409,9132.574,9648.913199999999,2732.978,3056.542,12455.232,3130.2736,1948.2920000000001,19990.89634,155.269,6822.923
201408,12890.408,12219.08054,4336.656,4858.955,14964.889,5207.37354,2401.62,22911.626650000002,843.1220000000001,8791.548
201407,9273.433,11437.50562,3160.531,4577.393,10956.174,3772.57884,2309.536,20091.9853,931.562,6957.182000000001
201406,10512.839,10927.92947,3029.304,3885.685,13762.358,4536.35241,1855.4730000000002,18740.586949999997,241.55,7191.026
201405,10315.99,11261.50443,3040.5640000000003,4418.134,13167.333,5421.61171,1736.7150000000001,16768.46457,437.58400000000006,8087.998
201404,6827.039000000001,9188.91268,1960.101,3083.209,11916.545000000002,2698.78744,1821.607,14570.00546,363.214,5962.784000000001
201403,7838.201000000001,13716.806499999999,2214.212,2462.721,13885.509,3516.75944,2137.04,19872.308539999998,234.827,5985.806
201402,6981.865,14493.73861,2625.5829999999996,3340.523,16590.469,3854.02819,2184.667,17499.88623,311.317,6808.68554
201401,12859.573,17725.54554,3066.516,3752.7969999999996,20438.919,5542.8383300000005,2468.9010000000003,20207.37646,480.819,11661.493
201312,9262.444,12756.382450000001,3660.3360000000002,3205.8720000000003,14037.896,7200.962240000001,2289.0099999999998,17794.91523,1131.736,7538.948999999999
201311,8155.655000000001,11502.12536,2659.8639999999996,2626.389,11991.75,5438.13438,1964.357,17219.04246,620.847,6748.396
201310,7489.525,11428.176210000001,2252.317,3181.301,12033.244,4430.75441,1913.799,17482.70842,372.029,7253.291
201309,10728.645,10838.97747,3680.955,4883.5,11434.859,6356.188,1777.031,12302.14515,542.851,7311.4220000000005
201308,13685.219000000001,13976.07677,4678.186,5257.372,16214.528,7558.15668,2293.756,19794.12846,1014.43,10401.641
201307,17421.343,14833.04505,4989.98,5627.474,18483.845,7996.31089,2268.5930000000003,21833.810110000002,943.3489999999999,10476.113
201306,9274.225,10728.40598,3076.018,5358.402,13001.861,4507.84705,1824.648,17183.26454,165.767,7423.504000000001
201305,9150.955,11133.77,2785.0339999999997,4172.626,16575.805,5079.562250000001,1718.1529999999998,17641.41346,95.575,5708.683
201304,10341.241,9961.958,2253.7560000000003,3114.547,13801.599,6372.49248,1684.3670000000002,13195.270919999999,282.98199999999997,8201.465
201303,12180.51,11241.153999999999,2738.8779999999997,3782.124,14018.721,6199.8878,2267.551,17491.50888,183.701,8831.84
201302,9019.913,11325.109,2892.2039999999997,3548.306,10598.041,4770.50731,2018.4669999999999,18085.28607,165.026,7310.572
201301,9204.607,13450.663,2954.609,2533.743,12129.632,6285.55247,1962.74,17789.22958,421.16200000000003,8409.512
201212,8553.119999999999,12135.508999999998,3444.8489999999997,2325.181,9715.471000000001,6927.748,2098.153,16690.971270000002,368.52,7118.459999999999
201211,9369.339,12228.153999999999,3196.455,2404.693,12700.565999999999,4825.016,1993.9669999999999,14024.30627,171.01399999999998,7570.158
201210,7909.835,13092.367999999999,2637.486,2476.548,12033.396,3637.995,1867.7900000000002,15464.94531,258.721,4790.694
201209,11811.811,11676.046,3004.406,4135.18,14909.204,4373.5199999999995,1805.986,16019.59765,234.839,6658.096
201208,16054.769,14848.962,4470.0599999999995,6829.772000000001,20112.941,7545.522999999999,2269.9219999999996,20336.13492,698.2479999999999,11076.508000000002
201207,29814.826,21231.629999999997,8628.658,10153.291000000001,35431.801,14602.431,2495.801,25668.52695,1474.559,20128.041
201206,18371.252,16121.762999999999,4765.779,6262.679,25184.423000000003,8703.630000000001,2053.721,20209.62907,369.50399999999996,12925.317000000001
201205,12377.232,15639.703000000001,3120.359,6196.408,23487.558999999997,7409.461,1858.917,18841.80902,254.231,11964.805
201204,13338.265,11851.611,2116.422,3736.5389999999998,24480.401,6047.646,1749.3129999999999,15217.544579999998,152.69400000000002,8597.434
201203,12209.765,15678.181,2452.4179999999997,3334.543,20110.097999999998,5256.513,2043.9540000000002,16859.34692,137.546,8075.3859999999995
201202,11981.742,15359.632000000001,2593.486,3075.84,17801.991,5401.0830000000005,2051.652,17825.47461,137.98600000000002,10052.773
201201,10710.349,16095.045999999998,2670.9629999999997,3560.4089999999997,17604.881,3744.743,2191.671,18993.169990000002,174.739,8216.572
201112,8056.747000000001,15564.815999999999,2331.997,2732.2200000000003,14180.826000000001,3939.6580000000004,2143.513,13691.56261,185.769,7293.232
201111,6842.012999999999,12475.19,2148.091,2468.858,12049.798,2567.944,1837.79,10037.34452,60.739,6078.81484
201110,7178.511,9822.785,2201.048,2570.317,10175.097,3165.6769999999997,1902.035,12331.07618,128.22199999999998,5902.7660000000005
201109,8210.461,9334.333999999999,2802.398,3350.6589999999997,8728.655999999999,3162.337,1748.2679999999998,10370.02992,138.86,3887.9300000000003
201108,14721.423999999999,14136.086,5242.89,7615.603,17321.111,6866.4,2111.2000000000003,15588.360610000002,520.983,8626.312
201107,22404.926,18249.16,6100.421,10169.622,25099.26,10208.574,2284.904,18137.01892,1171.928,11587.67
