,AZ,CO,CA,ID,MT,NM,NV,OR,UT,WA,WY
201105,10225.222,8554.017,43647.40974,241.39200000000002,821.604,6494.449,12917.742,1688.689,4369.974,1081.144,2589.2709999999997
201104,13077.418,8134.388,46406.57465,813.519,1061.274,5785.098,11360.473,2938.604,4008.14,1719.879,2525.986
201103,8053.172,6852.048,52934.36802,342.562,1055.593,6526.338,11928.875999999998,3135.1169999999997,4164.085999999999,1680.1350000000002,3168.144
201102,11385.086,7975.331,64989.5225,637.946,1027.396,6658.514999999999,10612.499,4131.398,4646.978,2106.484,2888.83
201101,13847.315,8915.604,66448.25365,826.8050000000001,990.768,6849.928000000001,11738.685000000001,6822.143,4955.26,4671.702,3292.7260000000006
201012,15107.536,8620.697,75525.261,1080.6080000000002,1423.21,7325.724,11974.735,10705.601999999999,5100.965,5547.249,3380.129
201011,17225.206,8088.437,80391.423,1110.5149999999999,1028.5430000000001,6137.5380000000005,12765.024,11063.327,5316.232,6312.867,3067.7290000000003
201010,24022.038,8338.862,94457.819,1578.369,1185.481,6151.249,13089.243,10556.448,4873.334,9055.936000000002,2903.1489999999994
201009,30092.61,8416.5,86262.872,1529.7259999999999,1183.8980000000001,7588.920999999999,15764.073999999999,11816.38,5722.987999999999,12984.720000000001,2739.437
201008,35863.174,11262.445,93215.373,1676.597,1146.429,9450.09,18789.39,12362.872,6490.5740000000005,14414.993999999999,2889.844
201007,34250.439,12297.053,80055.893,814.305,1033.5520000000001,9162.869,22328.469999999998,8588.648000000001,6380.027,8375.881,2986.1639999999998
201006,23149.346,10177.527,49917.893000000004,50.090999999999994,668.967,8140.233,15684.056,775.537,4708.537,858.528,2383.388
201005,14398.223,7179.611000000001,52130.706,269.381,980.5390000000001,5849.691,14662.204,3926.3819999999996,4822.22,2428.472,2556.1850000000004
201004,17044.165999999997,8319.852,69445.806,1378.9950000000001,1044.844,5897.808,13908.162,9791.661,5167.742,9594.914999999999,2637.771
201003,15467.724,9534.865,81899.573,1678.7859999999998,1103.922,6643.787,14485.840999999999,11402.73,5709.767,9706.88,3078.5750000000003
201002,11181.872000000001,9357.26,75771.893,1489.853,977.542,6529.371999999999,13563.01,10834.704,5409.228,5573.122,3062.059
201001,11175.735,10385.518,83017.104,1215.96,1109.8560000000002,7313.248,14781.287,11600.483999999999,6256.562,4514.921,3292.3779999999997
200912,17251.648,13174.905999999999,88823.695,1876.703,1200.17,7112.583,15229.214,10467.376999999999,6893.013000000001,10639.614000000001,3433.646
200911,17762.149,8935.881,78079.37299999999,1091.614,1139.488,6352.995,14416.643,11769.234,4516.512000000001,7324.335,3282.474
200910,25616.422,8492.928,86779.388,1529.017,860.925,6180.9400000000005,13372.964,12592.426,3824.557,12413.952,3241.652
200909,31844.936999999998,10699.425000000001,113897.261,1849.53,919.0559999999999,7220.15,18664.592,14384.485999999999,6467.094999999999,14605.608,2874.582
200908,38704.55499999999,12987.961,106200.626,2198.574,883.55,9130.776,21224.888,13844.505000000001,6280.187,16115.203000000001,2941.5060000000003
200907,40995.125,13210.525,104211.91,1374.564,864.9559999999999,9438.008,21916.704,11924.765000000001,6786.995000000001,13357.521,2719.577
200906,22946.098,10279.55,58288.82,156.611,591.149,7780.814,16712.035,2801.524,4831.298,1774.083,2457.174
200905,26427.628,9693.597,63866.491,609.904,634.407,6662.134,18092.958000000002,1947.3519999999999,5356.388,1753.712,2370.84
200904,16751.529,11504.533,62033.245,652.635,730.488,6255.321,12615.396999999999,5143.733,4808.975,2604.9570000000003,2252.215
200903,15085.989,12364.809,68503.951,902.5120000000001,1139.0310000000002,7634.515,15384.693,11497.953,5889.453,7624.78,2963.624
200902,15605.927,10927.561,73299.20199999999,1265.01,1130.309,6231.441999999999,14597.916,11592.357,6071.949,8801.355,2932.405
200901,15047.507,10792.695,80446.487,1069.867,1248.279,7352.1669999999995,15451.435,10321.268999999998,6612.941,4013.587,3308.509
200812,20529.639000000003,11033.808,89064.892,1509.528,1256.7079999999999,8114.77,16321.798999999999,13065.808,6255.168000000001,7300.273,3183.067
200811,18616.834000000003,10023.547999999999,81884.216,860.2330000000001,1159.424,6623.29,13908.176,11432.436000000002,5882.918000000001,5577.025000000001,2722.283
200810,26840.491,11517.314,92604.49600000001,1234.1399999999999,1174.979,8191.656,15625.973,12563.86,6529.761,6886.624000000001,2748.4240000000004
200809,32718.933,10658.755000000001,98476.584,1420.431,1090.299,6983.983,17774.917999999998,12062.382000000001,7026.338,11892.301,2784.233
200808,38057.521,12653.223,110200.648,1387.924,1160.9449999999997,8129.929999999999,21615.641,12705.634,7659.9400000000005,12183.276999999998,2928.995
200807,36817.899000000005,13869.133,94207.486,687.9870000000001,1069.79,8276.136,19132.738,8225.994,6503.888,4504.637,3002.2690000000002
200806,30132.633,9453.866,73676.93999999999,99.096,807.7560000000001,8044.3189999999995,15174.707999999999,1890.045,4993.713,876.893,2628.125
200805,20800.86,8328.220000000001,67005.36300000001,380.50800000000004,928.587,7470.928,13998.446,6038.085999999999,5102.323,1839.143,2615.903
200804,22693.822,9034.981,81082.849,1621.553,1130.7169999999999,6470.302,13012.087,11899.868999999999,6184.891,9338.685,2578.1679999999997
200803,14437.604000000001,10265.51,71472.292,1435.4679999999998,1237.4199999999998,6038.856,13434.433,12635.642,5824.568,7385.709,3023.986
200802,20293.985,9051.196,75525.22300000001,1574.338,1159.129,5490.631,13268.267,12970.022,6163.558,7686.51,3071.479
200801,26116.005,10639.592,90544.585,1916.185,1275.873,6571.545,14244.123,13905.806,6592.938,9250.206,3281.8099999999995
200712,24938.64,12487.183,93506.171,1908.893,1204.299,6263.512000000001,12765.878,14148.736,6692.209000000001,6946.947999999999,3508.678
200711,22520.445,11948.497000000001,85074.379,1694.818,1211.7089999999998,5923.364,10657.779999999999,12484.359,6855.795999999999,7044.946,3070.2560000000003
200710,26016.137,13433.257,91179.321,1950.481,1246.458,6910.235,12789.213,12471.024,7579.0509999999995,9835.083999999999,3084.22
200709,31300.373000000003,14988.687,94914.15100000001,1720.3380000000002,1239.63,7670.234,16802.939,12741.256,7882.299,9211.654999999999,3160.0370000000003
200708,38165.556,13945.711,124131.121,1563.04,1164.196,9563.005,19670.422,13213.303000000002,7067.955,8539.253999999999,3242.233
200707,40827.25,14982.252999999999,111729.714,1041.69,1262.912,8498.151,20407.782,11363.012999999999,6658.5,7271.3730000000005,3069.207
200706,32882.423,13265.723,82948.038,765.411,1078.287,6812.382,16741.883,8753.857,6623.746,2188.509,3047.1189999999997
200705,25340.142999999996,10687.63,68176.677,411.828,868.9680000000001,5641.635,14426.576,4075.821,6145.3730000000005,1642.612,2911.076
200704,15693.135,9632.804,61886.585,630.5169999999999,1068.874,4860.191000000001,12666.62,5194.090999999999,4701.088,1455.27,2646.059
200703,9412.561,8468.378999999999,61614.907999999996,538.398,1147.981,4946.617,13232.602,4296.829000000001,4299.849,2310.0860000000002,3101.504
200702,15507.771,9378.021,65546.30900000001,1434.973,1111.947,5111.624,13050.261999999999,9472.479,4222.973,4076.803,3107.26
200701,20411.552,11537.332,72653.354,1148.5939999999998,1215.115,5686.411,15341.798,10133.339,8681.122,5322.362,3420.669
200612,19327.88794,11372.61552,81002.28675,1471.2877999999998,1236.76899,6063.293670000001,13825.95912,10884.25175,5246.43513,7090.10801,3134.0313800000004
200611,19594.12098,9461.17445,74663.48229,966.10987,1243.91941,6059.88506,11272.72257,8000.99531,4474.82663,5685.3715600000005,3131.25762
200610,29073.43185,10405.94891,81857.19137999999,1422.75964,1157.60124,6607.725039999999,13630.375230000001,11116.19117,4362.21439,11035.019839999999,3065.0295400000005
200609,28226.828279999998,7481.42955,89633.79899,1326.68452,1056.6365700000001,6107.09735,16892.101670000004,10713.97093,4972.4747,10674.335869999999,2939.6264
200608,34353.93243,12176.57332,99333.38631,1297.70956,1454.67667,8453.52438,19990.80815,10799.931040000001,5228.22189,10365.49331,3206.7645599999996
200607,32473.30871,12220.60914,123665.97485,1302.23088,1355.68884,8935.58677,20182.28632,10904.96702,5646.60829,7727.13128,3046.2750899999996
200606,27774.55016,10375.45079,82312.33047,634.79373,825.7277799999999,7110.902440000001,17004.11753,3606.71945,4165.56011,2321.79744,2672.02574
200605,18710.76394,8080.00821,69044.9198,521.04945,843.9004199999999,6550.77588,12854.620200000001,1741.17854,2424.33446,1260.49275,2293.4288500000002
200604,15905.11886,7658.028109999999,57289.07845,356.22844,1012.86709,5308.52308,11471.5093,1609.07172,2325.4330600000003,1594.81147,2640.36305
200603,14089.24394,9767.556410000001,66647.19124,687.18464,1203.3416800000002,4367.90389,12437.75088,7544.3730000000005,2611.88259,2474.06376,3256.59872
200602,14526.870330000002,8910.80259,59567.70193,731.7847399999999,1079.22592,3742.29867,11533.0129,6657.63112,2162.21868,4510.29645,2935.2912100000003
200601,16013.73867,9990.92625,63986.80781,422.38681,1113.96047,4228.20662,12295.347150000001,5000.02299,2809.22418,3545.25337,3202.11402
200512,19145.6888,10779.97457,73517.78141,1339.3878,1179.9251299999999,4421.09585,14102.24942,10677.86446,2584.23578,8740.95361,3032.0449500000004
200511,18208.38794,9636.7018,68768.7106,1353.09352,1100.61302,4598.04731,11883.87227,9619.502910000001,2328.8957600000003,5721.10191,3004.12811
200510,21328.60631,8896.85526,68214.50691,1378.08726,1094.35918,5402.9394,12734.074200000001,10188.135960000001,2104.53241,5121.16409,3065.689
200509,24058.228580000003,10239.03487,77416.55119000001,1449.78874,1179.3497699999998,6100.10119,15460.70102,9546.92438,2674.80996,6925.9703,3080.80511
200508,32455.153599999998,11191.77169,105998.31193,1782.9290099999998,1220.45665,7092.44197,17653.08733,10399.88664,3588.6253800000004,10647.99347,3576.9544100000003
200507,32902.08194,13461.62852,105269.14155,1414.84858,1336.0748,7612.85974,17258.81153,8389.102,3996.63246,8440.26612,3476.57182
200506,20695.86208,8478.47853,65255.51137,803.48352,1101.15675,6636.565329999999,11973.82448,3870.07784,2753.66467,3616.51957,3149.23459
200505,18921.146630000003,8797.9921,60628.89413,564.38053,1026.48597,5369.69723,9441.6836,2678.3996199999997,2183.83996,2575.31509,2402.85733
200504,15155.681410000001,8929.28404,56827.31714,1232.0964099999999,1091.80225,4681.82315,10167.656350000001,9207.772439999999,1772.41773,5525.25029,2260.55455
200503,9906.16337,7752.79759,61443.58616,1402.90562,1011.9923600000001,4111.5126,11016.24629,9831.798009999999,1954.2691599999998,6164.661609999999,2728.97302
200502,12921.2034,8580.7976,58138.19321,1440.3837199999998,1043.7435699999999,4194.74586,12188.15971,9409.71897,1957.77419,6391.6261,2508.5314399999997
200501,13372.763009999999,10190.62463,66682.45136,1561.75838,1183.19257,4626.03947,12527.9239,9672.40757,2341.1217,7776.69532,2751.83781
200412,15588.478169999998,10374.35464,79717.63759,1285.45224,1241.7957900000001,3914.99611,12921.99149,9849.55912,2195.18095,6253.97609,2515.1204099999995
200411,17154.24554,10864.042590000001,79632.27944000001,1465.26403,1239.7846100000002,3783.4793,12754.42805,10684.13269,1991.78588,7010.77413,2697.6131800000003
200410,19783.76184,8962.56299,80516.94379,1208.77464,1256.66606,4001.2701400000005,12885.723539999999,9861.87745,2203.7619799999998,7300.79184,2523.836
200409,24868.6212,8457.69087,94078.22783,1401.02175,1134.88963,4148.18021,14476.90861,9691.55104,2377.04803,7612.638290000001,2634.17313
200408,30781.5566,10210.14133,99439.35087000001,1356.69329,1164.40885,5124.05004,17327.880849999998,10854.126479999999,3041.01343,10361.01926,2758.48167
200407,33330.1986,12166.07083,101724.89365,1246.24098,1136.20595,5990.44874,17331.85369,10307.98144,3156.02974,8826.37282,2509.42013
200406,26808.95735,8568.75265,71338.77002,695.22412,968.85059,5205.75788,13666.23042,5574.12297,2667.25614,2437.22455,2418.13079
200405,23162.93803,8978.73286,72532.02663000001,1244.6299900000001,892.47023,4861.38616,9395.44897,6304.37574,2444.11908,4207.36797,2079.5267
200404,19163.33052,7333.75277,71821.26019,444.78508,978.74338,3177.25661,7050.66224,6975.99262,1949.79225,5007.90224,2290.79914
200403,18689.62177,6687.91157,74648.36138,1365.15578,1285.3585500000002,3476.7650799999997,7956.35865,7308.8091,1502.58647,5146.330919999999,2568.7378700000004
200402,18487.16385,7384.00797,68711.87730000001,1691.02988,1170.48988,3847.55166,10570.055030000001,9111.29861,1628.69329,7702.08465,2498.13845
200401,13856.113529999999,8627.85898,69006.61907,1776.63131,1236.9764,4276.22905,9280.32949,9593.248019999999,1806.3836999999999,6919.148,2635.6502299999997
200312,9073.505000000001,8573.981,68322.27399999999,936.096,1181.575,4583.941,10297.373,7277.8189999999995,1790.13,5187.706,2477.672
200311,12123.301,8177.772,66918.082,1240.942,1031.7040000000002,3878.732,9447.454,8799.668000000001,1759.382,8286.11,2440.75
200310,21522.606,7737.227000000001,85148.855,865.732,1094.207,4056.3230000000003,11407.824,9094.033,2470.758,8072.151,2392.137
200309,23101.6,8271.992,90764.22600000001,1233.485,1071.9180000000001,4634.805,12621.207,10383.204000000002,2590.792,7664.253000000001,2345.643
200308,28629.693,12279.147,99022.62700000001,1243.4160000000002,1118.6080000000002,7109.168,15261.327,9920.818,3398.657,7934.036999999999,2666.8469999999998
200307,26617.652,11926.641,104632.088,1940.417,1066.009,6580.196,14533.902,10253.809,3527.582,8047.451,2780.013
200306,13894.279,6774.2789999999995,64363.5,436.12,965.116,5248.6990000000005,10599.658,4025.958,2437.991,2184.139,2232.163
200305,10349.999,7789.066000000001,56773.255000000005,508.21299999999997,861.1279999999999,4996.314,7985.185,2024.911,2373.567,2210.632,2083.266
200304,11122.156,6293.532,57379.129,534.257,660.014,3911.0499999999997,6868.668,2639.5480000000002,2890.3940000000002,3163.3689999999997,2191.871
200303,13343.648000000001,7901.512000000001,67227.18100000001,1025.5529999999999,1026.2450000000001,4306.174,8270.303,4984.775,2410.0860000000002,6400.5740000000005,2624.737
200302,10643.482,8033.422,65967.51699999999,1247.342,1025.079,4098.4259999999995,8205.289,6071.117,2493.066,6167.46,2679.5379999999996
200301,9782.762,8635.21,69394.21299999999,414.73699999999997,1043.567,3840.5069999999996,8364.841,8556.945,2922.816,6219.559,2929.809
200212,14075.398000000001,8310.243,76240.68599999999,351.289,779.232,3963.237,9473.211000000001,6225.3330000000005,2653.6440000000002,6963.268,3132.864
200211,13290.715,7681.871,68748.004,346.812,935.11,3990.352,9981.542000000001,6273.426,2321.853,4971.92,2807.1009999999997
200210,16277.166000000001,9113.396,74961.795,380.338,961.415,4463.739,10459.416000000001,6442.521000000001,3721.642,5437.136,3168.6079999999997
200209,18561.653,8158.153,94223.187,310.002,976.843,4629.961,11422.619999999999,6538.880999999999,3586.849,5193.915,3256.8379999999997
200208,19667.492,9600.34,99816.682,454.878,1301.466,5454.0380000000005,12299.012999999999,5887.888,3405.219,4970.817,3084.909
200207,21084.402000000002,11155.358,108735.02200000001,659.355,702.7909999999999,7194.627,11690.608,3023.763,3023.923,2772.621,3045.599
200206,14234.206999999999,9224.749,82739.232,472.96400000000006,573.261,6059.76,10203.768,4418.495,2065.715,1707.031,2514.625
200205,10935.662999999999,7983.33,62348.147000000004,462.87,922.1659999999999,4026.369,8304.507,3487.3019999999997,2307.089,2137.297,2654.5480000000002
200204,9565.242,8575.560000000001,60984.776,435.939,998.831,4550.588,6413.004,3039.149,2204.487,3113.009,2506.862
200203,10661.326,8954.867,81257.458,872.341,1159.03,4582.665,9262.92,7067.582,2052.3869999999997,6504.676,3014.0860000000002
200202,9318.461000000001,6275.472,62683.064999999995,643.638,922.8030000000001,3828.339,8560.189999999999,6540.072,1905.4390000000003,5211.017,2690.9880000000003
200201,8097.701,11088.979000000001,71807.432,632.971,810.6350000000001,3506.617,9468.35,8232.852,2156.749,5632.75,2964.326
200112,10557.787,8901.158,78702.976,2093.4750000000004,1176.448,4103.0,8520.582999999999,8246.815,2137.207,6231.633,2996.462
200111,8508.437,7679.994,74758.10900000001,2668.789,1173.8609999999999,4731.707,8431.822,,2022.8290000000002,6013.626,3101.8909999999996
200110,11644.642,10154.327,92848.06,2208.709,1092.07,5397.347,10058.77,,2564.37,7812.821,2903.8219999999997
200109,11795.237000000001,8824.435000000001,100963.39099999999,1807.148,999.478,5838.285000000001,9454.226,,2875.3590000000004,8027.944,2394.642
200108,14230.427000000001,10528.380000000001,118072.334,1577.685,1137.8660000000002,7488.8369999999995,11903.967999999999,,2995.2039999999997,9192.789,3080.76
200107,15492.51,10680.283,109795.918,1254.69,1080.4660000000001,8098.82,10083.561,,3087.751,10486.948,3117.7129999999997
200106,14404.021,9452.01,99794.578,666.117,779.214,7322.177,9405.656,,3054.495,8677.663,2806.03
200105,16834.291,9215.67,99643.496,587.5939999999999,722.9,7033.212,9653.573,,3257.974,10298.765000000001,2491.025
200104,13576.774,9586.644,95869.299,591.096,725.965,6633.9400000000005,7633.3279999999995,,3071.483,10681.138,2530.715
200103,12335.095000000001,10713.802,98166.156,680.41,1043.937,6275.409000000001,11102.016000000001,,2840.518,10891.346,3190.3050000000003
200102,11827.633,8813.855,92870.334,551.046,1081.452,5511.687,11097.398000000001,,2887.1679999999997,10432.012,2876.112
200101,9263.064,8366.732,107414.399,550.582,1214.553,4762.959,11479.759,,2904.2259999999997,9210.95,3106.0150000000003
